Make,Model,Ex-Showroom_Price,Body_Type,Fuel_Type,Type,Seating_Capacity,Displacement,Number_of_Airbags
Tata,Nano Genx,292667.0,Hatchback,Petrol,Manual,4.0,624.0,2.0
Tata,Nano Genx,236447.0,Hatchback,Petrol,Manual,4.0,624.0,2.0
Tata,Nano Genx,296661.0,Hatchback,CNG,Manual,4.0,624.0,2.0
Tata,Nano Genx,334768.0,Hatchback,Petrol,Automatic,4.0,624.0,2.0
Tata,Nano Genx,272223.0,Hatchback,Petrol,Manual,4.0,624.0,2.0
Tata,Nano Genx,314815.0,Hatchback,Petrol,Automatic,4.0,624.0,2.0
Datsun,Redi-Go,279650.0,Hatchback,Petrol,Manual,5.0,799.0,2.0
Datsun,Redi-Go,351832.0,Hatchback,Petrol,Manual,5.0,799.0,2.0
Datsun,Redi-Go,333419.0,Hatchback,Petrol,Manual,5.0,799.0,2.0
Datsun,Redi-Go,362000.0,Hatchback,Petrol,Manual,5.0,799.0,2.0
Datsun,Redi-Go,390000.0,Hatchback,Petrol,Manual,5.0,999.0,2.0
Datsun,Redi-Go,437065.0,Hatchback,Petrol,Automatic,5.0,999.0,2.0
Renault,Kwid,353290.0,Hatchback,Petrol,Manual,5.0,799.0,1.0
Renault,Kwid,283290.0,Hatchback,Petrol,Manual,5.0,799.0,1.0
Renault,Kwid,383290.0,Hatchback,Petrol,Manual,5.0,799.0,1.0
Renault,Kwid,413290.0,Hatchback,Petrol,Manual,5.0,799.0,1.0
Renault,Kwid,433290.0,Hatchback,Petrol,Manual,5.0,999.0,1.0
Renault,Kwid,454490.0,Hatchback,Petrol,Manual,5.0,999.0,1.0
Renault,Kwid,463290.0,Hatchback,Petrol,Automatic,5.0,999.0,1.0
Renault,Kwid,484490.0,Hatchback,Petrol,Automatic,5.0,999.0,1.0
Renault,Kwid,440990.0,Hatchback,Petrol,Manual,5.0,999.0,2.0
Renault,Kwid,470990.0,Hatchback,Petrol,Automatic,5.0,999.0,2.0
Renault,Kwid,462190.0,Hatchback,Petrol,Manual,5.0,999.0,2.0
Renault,Kwid,492190.0,Hatchback,Petrol,Automatic,5.0,999.0,2.0
Maruti Suzuki,Eeco,352136.0,MPV,Petrol,Manual,5.0,1196.0,1.0
Maruti Suzuki,Eeco,380573.0,MPV,Petrol,Manual,7.0,1196.0,1.0
Maruti Suzuki,Eeco,392967.0,MPV,Petrol,Manual,5.0,1196.0,2.0
Maruti Suzuki,Eeco,466057.0,MPV,CNG,Manual,5.0,1196.0,1.0
Maruti Suzuki,Eeco,425255.0,MPV,CNG,Manual,5.0,1196.0,1.0
Maruti Suzuki,Alto K10,377588.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Alto K10,394036.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Alto K10,360843.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Alto K10,407238.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Alto K10,439777.0,Hatchback,CNG,Manual,5.0,998.0,1.0
Maruti Suzuki,Alto K10,438559.0,Hatchback,Petrol,Automatic,5.0,998.0,1.0
Datsun,Go,374990.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,468229.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,502492.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,499990.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,469990.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,528464.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,553015.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,594464.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Datsun,Go,618015.0,Hatchback,Petrol,Manual,5.0,1198.0,2.0
Maruti Suzuki,Celerio Tour,422444.0,Hatchback,Petrol,Manual,5.0,998.0,2.0
Maruti Suzuki,Celerio Tour,480670.0,Hatchback,CNG,Manual,5.0,998.0,2.0
Hyundai,Santro,429990.0,Hatchback,Petrol,Manual,5.0,1086.0,1.0
Hyundai,Santro,503990.0,Hatchback,Petrol,Manual,5.0,1086.0,1.0
Hyundai,Santro,547990.0,Hatchback,CNG,Manual,5.0,1086.0,1.0
Hyundai,Santro,530990.0,Hatchback,Petrol,AMT,5.0,1086.0,1.0
Hyundai,Santro,512990.0,Hatchback,Petrol,Manual,5.0,1086.0,1.0
Hyundai,Santro,578990.0,Hatchback,CNG,Manual,5.0,1086.0,1.0
Hyundai,Santro,570990.0,Hatchback,Petrol,AMT,5.0,1086.0,1.0
Hyundai,Santro,556490.0,Hatchback,Petrol,Manual,5.0,1086.0,2.0
Tata,Tiago,460000.0,Hatchback,Petrol,Manual,5.0,1199.0,2.0
Tata,Tiago,520000.0,Hatchback,Petrol,Manual,5.0,1199.0,2.0
Tata,Tiago,570000.0,Hatchback,Petrol,Manual,5.0,1199.0,2.0
Tata,Tiago,599000.0,Hatchback,Petrol,Manual,5.0,1199.0,2.0
Tata,Tiago,610000.0,Hatchback,Petrol,Manual,5.0,1199.0,2.0
Tata,Tiago,620000.0,Hatchback,Petrol,AMT,5.0,1199.0,2.0
Tata,Tiago,649000.0,Hatchback,Petrol,AMT,5.0,1199.0,2.0
Tata,Tiago,660000.0,Hatchback,Petrol,AMT,5.0,1199.0,2.0
Maruti Suzuki,Celerio X,481074.0,Hatchback,Petrol,Manual,5.0,998.0,2.0
Maruti Suzuki,Celerio X,475198.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Celerio X,518198.0,Hatchback,Petrol,Automatic,5.0,998.0,1.0
Maruti Suzuki,Celerio X,524074.0,Hatchback,Petrol,Automatic,5.0,998.0,2.0
Maruti Suzuki,Celerio X,499734.0,Hatchback,Petrol,Manual,5.0,998.0,1.0
Maruti Suzuki,Celerio X,540350.0,Hatchback,Petrol,Manual,5.0,998.0,2.0
Maruti Suzuki,Celerio X,542735.0,Hatchback,Petrol,Automatic,5.0,998.0,1.0
Maruti Suzuki,Celerio X,552350.0,Hatchback,Petrol,Automatic,5.0,998.0,2.0
Maruti Suzuki,Ignis,713898.0,Hatchback,Petrol,AMT,5.0,1197.0,2.0
